Time,X,Y,X_controle,Y_controle,W,Xd,Yd,Wd
1688490498.9809756,0.7608916163444519,-0.6599035263061523,0.8609722904815825,-0.5481723369978063,0.8403468660876153,0.0,0.0,0.0
1688490498.9976518,0.760836124420166,-0.6599119305610657,0.8609231282043758,-0.5481864112134269,0.8402902139770974,-0.0033276145542926587,-0.0005039674029594681,-0.003397185985474023
1688490499.0143232,0.7608866691589355,-0.6599380373954773,0.8609808371274837,-0.5482189363487715,0.8402260890559119,0.0030318198069360027,-0.001565963532356096,-0.0038463984759078947
1688490499.0309458,0.7609140276908875,-0.6598790884017944,0.8609967353381548,-0.5481497205973017,0.8403286659169638,0.0016458691910499138,0.0035463281698221456,0.006170948631917215
1688490499.0476637,0.7607704997062683,-0.6590408682823181,0.8608739762535945,-0.5473301079092059,0.8401427646630713,-0.008585282373074729,0.05013904734740445,-0.011119885522052985
1688490499.0643814,0.7607691884040833,-0.6590195298194885,0.8608842011569396,-0.5473191080588908,0.8400394913585779,-7.84380838289194e-05,0.001276401545943325,-0.006177493035120437
1688490499.0810273,0.7608110904693604,-0.6590339541435242,0.8609382766021711,-0.5473444443535468,0.8399305036360079,0.0025172591595290614,-0.0008665387149445702,-0.00654741815472386
1688490499.0977142,0.7608141899108887,-0.6590548157691956,0.8609303064197074,-0.5473553832943945,0.84002960992006,0.0001857408201171596,-0.0012501785969424204,0.00593916107479955
1688490499.1143773,0.7608144879341125,-0.6589998602867126,0.8609436012766455,-0.5473120782278045,0.8399132484378077,1.7885248247245672e-05,0.003298039776792102,-0.0069831940257117755
1688490499.1310735,0.7607657313346863,-0.659019947052002,0.8608820659848752,-0.5473207100975295,0.8400276569865823,-0.002920218766511017,-0.001203073012609062,0.006852364502701703
1688490499.1476743,0.7607738375663757,-0.659047544002533,0.8608764682356264,-0.5473360256479084,0.8401503366749626,0.0004883022878398368,-0.0016623820534547387,0.007389965498460334
1688490499.164334,0.7608090043067932,-0.6590563654899597,0.8609256230759633,-0.5473573831927666,0.8400251133765019,0.00211088213406606,-0.0005295094166809778,-0.0075165232930788145
