Time,X til,X_robot_solver,Y_robot_solver,X_solver_robot,Y_solver_robot,X_robot_obs,Y_robot_obs,X_obs_robot,Y_obs_robot,X_dot,Y_dot
1688490498.840653,0.5757080939038379,,,,,,,,,0.0,0.0
1688490498.8738844,0.580729115617355,,,,,,,,,0.0,0.0
1688490498.9072177,0.5858083132362366,,,,,,,,,0.0,0.0
1688490498.941543,0.5883600503551264,,,,,,,,,0.0,0.0
1688490498.973881,0.5908589760530195,,,,,,,,,0.0,0.0
1688490499.0072243,0.5959542926416334,,,,,,,,,0.0,0.0
1688490499.0406923,0.6026873451247068,,,,,,,,,0.0,0.0
1688490499.0740128,0.6102515778149649,,,,,,,,,0.0,0.0
1688490499.1072662,0.6127439251568059,,,,,,,,,0.0,0.0
1688490499.140598,0.6178086933433553,,,,,,,,,0.0,0.0
1688490499.1738904,0.6177790893926302,,,,,,,,,0.0,0.0
1688490499.2074993,0.6252167087318927,,,,,,,,,0.0,0.0
1688490499.2405686,0.632228988270979,,,,,,,,,0.0,0.0
1688490499.2739058,0.6380456660696713,,,,,,,,,0.0,0.0
1688490499.3072414,0.6379684821093521,,,,,,,,,0.0,0.0
1688490499.3405545,0.639704124036876,,,,,,,,,0.0,0.0
1688490499.3739076,0.6363153905704722,,,,,,,,,0.0,0.0
1688490499.4073398,0.6404625301388963,,,,,,,,,0.0,0.0
1688490499.4407687,0.6471984214716232,,,,,,,,,0.0,0.0
1688490499.4739006,0.6434377516550838,,,,,,,,,0.0,0.0
1688490499.5072222,0.6438558228146629,,,,,,,,,0.0,0.0
1688490499.540584,0.6467635231804731,,,,,,,,,0.0,0.0
1688490499.5738988,0.6420562369852796,,,,,,,,,0.0,0.0
1688490499.6072135,0.6443684967761841,,,,,,,,,0.0,0.0
1688490499.6405456,0.6487967455902227,,,,,,,,,0.0,0.0
1688490499.6738853,0.6429401382655805,,,,,,,,,0.0,0.0
1688490499.7072213,0.6419482821806255,,,,,,,,,0.0,0.0
1688490499.7406018,0.6429462570791707,,,,,,,,,0.0,0.0
1688490499.7738757,0.6433040897525608,,,,,,,,,0.0,0.0
1688490499.80741,0.6390371659861127,,,,,,,,,0.0,0.0
1688490499.84054,0.6367232345731338,,,,,,,,,0.0,0.0
1688490499.873886,0.6288519355375836,,,,,,,,,0.0,0.0
1688490499.9072077,0.6282589213849115,,,,,,,,,0.0,0.0
1688490499.9405491,0.6293102243235471,,,,,,,,,0.0,0.0
1688490499.9738836,0.620587200123598,,,,,,,,,0.0,0.0
1688490500.0072117,0.6163024048712378,,,,,,,,,0.0,0.0
1688490500.0405867,0.6141774861618028,,,,,,,,,0.0,0.0
1688490500.0738878,0.6119636023765673,,,,,,,,,0.0,0.0
1688490500.1072528,0.6044492677720837,,,,,,,,,0.0,0.0
1688490500.1406403,0.5987908404466437,,,,,,,,,0.0,0.0
1688490500.17387,0.5886315195361146,,,,,,,,,0.0,0.0
1688490500.2072227,0.5850567122348009,,,,,,,,,0.0,0.0
1688490500.2405767,0.5824742488003303,,,,,,,,,0.0,0.0
1688490500.2738867,0.5793638850919716,,,,,,,,,0.0,0.0
1688490500.3072207,0.5719261807272434,,,,,,,,,0.0,0.0
1688490500.3405538,0.5670992485668174,,,,,,,,,0.0,0.0
1688490500.3738809,0.5571738735914781,,,,,,,,,0.0,0.0
