Time,X,Y,VX,VY
1688251970.8215497,0.9999999999993261,1.1609755651338473e-06,-1.8236561532108765e-07,0.1570796326793838
1688251970.8382223,0.9999965675698611,0.002620085589495456,-0.0004115620819867703,0.15707909351462424
1688251970.854832,0.9999863281353949,0.0052291053049511906,-0.0008213859405441038,0.15707748510801944
1688251970.8715134,0.9999691932843665,0.007849361898482364,-0.0012329748837819913,0.1570747935719139
1688251970.8881676,0.9999452372965403,0.010465295407479137,-0.001643884758489173,0.15707103057414568
1688251970.9049006,0.9999142762588704,0.013093514948226578,-0.002056724518550838,0.15706616722572111
1688251970.9216754,0.999876303667902,0.015728234593030434,-0.002470585312570063,0.1570602025050799
1688251970.9382021,0.999832103884381,0.018323865370938,-0.0028783060417353614,0.15705325961931993
1688251970.9549317,0.9997804987606648,0.0209512361896957,-0.0032910124848586314,0.15704515350544218
1688251970.97172,0.9997217721406412,0.023587672796946898,-0.0037051429787084093,0.15703592874954037
1688251970.988175,0.99965746482502,0.026171607127070357,-0.004111026434152125,0.157025827380024
1688251971.0048385,0.9995855361151366,0.028788122366958963,-0.004522027686934114,0.15701452884469638
1688251971.0215378,0.9995065824845631,0.031410055237601466,-0.004933879939164918,0.15700212683740722
1688251971.0381777,0.9994210687926935,0.03402245219366368,-0.0053442342934361875,0.15698869437809926
1688251971.0548584,0.9993284924920108,0.03664101654764869,-0.005755557420307758,0.1569741525267932
1688251971.0715241,0.9992291479812194,0.039256971670346426,-0.006166470690087148,0.15695854752752936
1688251971.0882058,0.9991228505930092,0.04187516475071283,-0.006577735497435085,0.1569418503728345
1688251971.1049411,0.9990093180423951,0.04450148833992617,-0.006990277442126195,0.1569240167214869
1688251971.1216354,0.9988891854173302,0.04712107019479334,-0.007401760397662586,0.15690514633286887
1688251971.1381903,0.9987632733031253,0.04971844628331237,-0.007809755279577646,0.15688536810421966
1688251971.1548722,0.9986295628480293,0.05233542018512834,-0.008220828578806707,0.15686436491504777
1688251971.1715448,0.9984890756385221,0.05495057625293519,-0.008631616333337346,0.15684229723578222
1688251971.1882155,0.9983417572579015,0.05756505637281432,-0.009042297910215788,0.1568191565186674
1688251971.2048817,0.998187635860659,0.06017843147597516,-0.009452805911474016,0.1567949471862005
1688251971.2215374,0.9980267768755794,0.06278974947666628,-0.009862990783831918,0.156769679515911
1688251971.2382076,0.9978589371249279,0.06540291736543001,-0.010273466235928761,0.15674331530952965
1688251971.254877,0.9976842628775167,0.06801552474653245,-0.010683853643688056,0.15671587754290772
1688251971.2715418,0.9975028011867141,0.07062691855559619,-0.011094050423997281,0.15668737360717105
1688251971.2881973,0.9973146112662304,0.07323637180313884,-0.011503942381615583,0.15665781280358748
1688251971.3048642,0.9971194587100829,0.07584711637044199,-0.011914037179267534,0.15662715831175136
1688251971.3215637,0.9969170692844038,0.0784624557950815,-0.012324853735422097,0.1565953670551075
1688251971.3382287,0.9967082603649626,0.08107184295580046,-0.012734735312146406,0.15656256742674146
1688251971.3548567,0.9964931072389591,0.08367489005217947,-0.013143620993893034,0.15652877125273898
1688251971.371595,0.9962696629581279,0.08629460394079218,-0.013555124689241676,0.1564936727071817
1688251971.3881838,0.9960414158538837,0.08889037014092517,-0.013962866690480401,0.15645781973588685
1688251971.4049027,0.995804538061029,0.09150585761065091,-0.014373706501502728,0.1564206110591953
1688251971.4215217,0.9955622691173532,0.09410509183836283,-0.014781993259239673,0.15638255554251307
1688251971.4382367,0.9953117560713708,0.09671870670208524,-0.015192538921998844,0.15634320504526872
1688251971.4548528,0.9950559253065359,0.09931618957830439,-0.015600550578086613,0.15630301924270035
1688251971.471592,0.9947913462458453,0.10193221980501928,-0.01601147564517743,0.15626145926103238
1688251971.4881887,0.9945222268140604,0.10452530972354264,-0.016418797257083968,0.15621918607954072
1688251971.5048456,0.9942453370871416,0.10712707258427341,-0.016827481211566693,0.15617569234294357
1688251971.5215237,0.9939612751805424,0.10973141501625647,-0.017236570364154203,0.15613107200299675
1688251971.5381837,0.9936707111619791,0.11233217606210039,-0.01764509695392249,0.15608543031369093
1688251971.5548599,0.9933730494167521,0.1149346975132533,-0.018053900067510082,0.15603867371608796
1688251971.571546,0.9930683865378912,0.11753799240683624,-0.01846282467315048,0.1559908173829854
1688251971.5881839,0.9927578146541558,0.12013293238369253,-0.01887043689154039,0.15594203286556765
1688251971.6048446,0.9924400208086568,0.12273062004778174,-0.019278480715631565,0.15589211392504887
1688251971.6215441,0.992114664715748,0.12533352327274178,-0.019687343798108548,0.15584100710948473
1688251971.6381757,0.9917838473712081,0.12792497838015976,-0.02009440861448715,0.1557890424425204
1688251971.654908,0.9914441981981088,0.13053122944073284,-0.0205037975737525,0.15573569047517008
1688251971.6716607,0.9910972714153209,0.13313977089174292,-0.020913546306706388,0.15568119534356306
1688251971.688197,0.9907480969838941,0.13571369983458695,-0.021317858119591433,0.15562634715213347
1688251971.704845,0.9903898088760906,0.1383041086677496,-0.021724758587594328,0.15557006738776627
1688251971.7216225,0.9900218825058151,0.14091370465516095,-0.022134672966738773,0.15551227364867032
1688251971.7381816,0.9896520030177587,0.14348837208268167,-0.022539100780525574,0.15545417311455073
1688251971.7548459,0.9892730153708166,0.1460784072309526,-0.022945942550242942,0.15539464187417898
1688251971.771529,0.9888868094361293,0.14867036733402045,-0.02335308669115273,0.15533397678781968
1688251971.7881846,0.988494463876306,0.15125704904530643,-0.023759401704220286,0.15527234729139922
1688251971.8048668,0.9880947126629953,0.15384680304586362,-0.02416619931135805,0.15520955451764917
